"Type","Source","Target"
"rename","Скрејпер + симнувач за e-nabavki.gov.mk (PublicAccess).docx","Скрејпер-+-симнувач-за-e-nabavki.gov.mk-(PublicAccess).docx"
"rename","Закон за јавни набавки\закон за јавните набавки.pdf","Закон за јавни набавки\закон-за-јавните-набавки.pdf"
"skip-no-cyrillic","модели на тендерска документација\модел на договор\Model-na-dogovor-nabavka-na-stoki-fev-2023.docx",""
"skip-no-cyrillic","модели на тендерска документација\модел на договор\Model-na-dogovor-za-nabavka-na-raboti-2023.docx",""
"skip-no-cyrillic","модели на тендерска документација\Набавка од мала вредност\Mala-Vrednost-Dopolna-ZJN-14-25.docx",""
"skip-no-cyrillic","модели на тендерска документација\Отворена постапка\Model-Otvorena-postapka-usoglasena-so-izmeni-na-ZJN-14-25-1.doc",""
"skip-no-cyrillic","модели на тендерска документација\Отворена постапка\Modeli-na-Prilozi.docx",""
"skip-no-cyrillic","модели на тендерска документација\Поедноставена отворена постапка\POP-Izmena-ZJN-14-25-1.doc",""
"rename","модели на тендерска документација\Поедноставена отворена постапка\Прилог-3-Изјава-за-способност_feb_25.docx","модели на тендерска документација\Поедноставена отворена постапка\Прилог-3-Изјава-за-способност-feb-25.docx"
"skip-no-cyrillic","Упатства\Brosura-DZR-BJN-2023.pdf",""
"skip-no-cyrillic","Упатства\MKD-Guideline-MEAT-criteria-final.pdf",""
"skip-no-cyrillic","Упатства\Preporaki-primena-na-ZJN-krajna-itnost.pdf",""
"skip-no-cyrillic","Упатства\Priracnik-za-koristenje-na-ESJN-za-Dogovorni-organi-nov2021.pdf",""
"skip-no-cyrillic","Упатства\Priracnik-za-koristenje-na-ESJN-za-Ekonomski-operatori-nov2021.pdf",""
"skip-no-cyrillic","Упатства\Priracnik-za-nevoobicaeno-niska-cena-BJN.pdf",""
"skip-no-cyrillic","Упатства\Upatstvo-podnesuvanje-ponuda-na-ESJN.pdf",""
"skip-no-cyrillic","Упатства\Upatstvo-za-digitalno-potpisuvanje-feb-2026.pdf",""
"skip-no-cyrillic","Упатства\Upatstvo-za-popolnuvanje-na-finansiskiot-obrazec.pdf",""
"skip-no-cyrillic","Упатства\Zaednicki-poimnik-za-JN.doc",""
"rename","Упатства\еПазар - Корисничко упатство за Договорни органи_Април.pdf","Упатства\еПазар-Корисничко-упатство-за-Договорни-органи-Април.pdf"
"rename","Упатства\Корисничко упатство за Економски оператори_еПазар.pdf","Упатства\Корисничко-упатство-за-Економски-оператори-еПазар.pdf"
"skip-nochange","Упатства\Упатство-техничка-спецификација-и-образец-на-техничка-понуда.pdf",""
