item_no,section_code,requirement_id,checklist_item,mandatory,provided,attached_file_name,reviewer_comment
1,4,REQ-SEC-4,4.ПОДНЕСУВАЊЕ И ОТВОРАЊЕ НА ПОНУДИТЕ..................................................................................12,yes,,,
2,5,REQ-SEC-5,5.УТВРДУВАЊЕ СПОСОБНОСТ..............................................................................................................13 6.КРИТЕРИУМ ЗА НАЈПОВОЛНА ПОНУДА............................................................................................18 7.ОТВОРАЊЕ И ЕВАЛУАЦИЈА НА ПОНУДИТЕ.......................................................................................19 8.СКЛУЧУВАЊЕ НА ДОГОВОРОТ ЗА ЈАВНА НАБАВКА ИЛИ НА РАМОВНАТА СПОГОДБА..................22 9.ПРАВО НА ЖАЛБА И ЗАВРШУВАЊЕ НА ПОСТАПКАТА ЗА ЈАВНА НАБАВКА....................................23 10.ЗАДОЛЖИТЕЛНИ ЕЛЕМЕНТИ ОД ДОГОВОРОТ ЗА ЈАВНА НАБАВКА..............................................24 11.ДОПОЛНИТЕЛНИ ИНФОРМАЦИИ...............................................................................................,yes,,,
3,1.3,REQ-SEC-1-3,"1.3.Предмет на постапката за јавна набавка 1.3.1.Предмет на постапката за јавната набавка е извршување услуги - Интернет услуги. Детален опис на предметот на набавка е даден во техничките спецификации. 1.3.2.Предметот на набавката е делив . Број на дел Предмет на делот од договорот за јавна набавка Проценета вредност на дел 1 Општи интернет услуги 7525200.00 2 Е-маил услуги 1671660.00 Договорот за јавната набавка ќе биде со времетраење од 12 месеци.Применливи прописи 1.3.3.Оваа постапка се спроведува согласно со Законот за јавните набавки („Службен весник на Република Македонија“ бр.24/2019 и „Службен весник на Република Северна Македонија“ бр.87/21 и 14/25) и важечките подзаконски акти, како и Важечки подзаконски акти и материјални прописи кои го уредуваат предметот на набавка.. 1.3.4.При",yes,,,
4,1.5,REQ-SEC-1-5,"1.5.Вид на постапка за јавна набавка 1.5.1.Договорот за јавна набавка ќе се додели со примена на отворена постапка. 1.5.2.Оваа постапка се спроведува со користење на електронски средства преку Електронскиот систем за јавни набавки (во натамошниот текст: ЕСЈН), достапен на следнава интернет адреса https://www.e-nabavki.gov.mk и Правилникот за начинот на користење на електронскиот систем за јавни набавки („Службен весник на Република Северна Македонија“ бр. 64/2019 и 271/2019). 1.5.3.Доколку во текот на постапката за доделување договор за јавна набавка, најповолната прифатлива понуда согласно условите на постапката е со цена повисока од износот на средства утврден во одлуката за јавна набавка, договорниот орган може да ја измени одлуката и да дообезбеди средства потребни за реализација на до",yes,,,
5,1.6.1,REQ-SEC-1-6-1,"1.6.1.Електронска аукцијаДоговорот за јавна набавка ќе се додели со користење електронска аукција со цел добивање нови цени корегирани надолу, односно нови вредности за одредени елементи од понудите. Поканата за учество на аукцијата ќе биде електронски испратена во поштенското сандаче на корисничкиот профил на ЕСЈН на лицето за контакт наведено во Образецот за понуда кое претходно е регистрирано во ЕСЈН. 1 Во согласност со членовите 4 и 5 од Законот за заштита на укажувачи 6",yes,,,
6,1.6.1.1,REQ-SEC-1-6-1-1,"1.6.1.1.Предмет на електронската аукција ќе биде Вкупната цена за сите локации на месечно ниво, за секој дел од набавката, без ДДВ во денари, изразена во бројки. Напомена: делот на понудата кој ќе биде предмет на е-аукција треба да се определи и изрази во бројки или %. 1.6.1.2.Сите понудувачи што поднеле прифатливи понуди, истовремено ќе се поканат да достават нови цени или нови вредности за делот на понудата кој е предмет на електронска аукција. 1.6.1.3.Сите понудувачи во секоја фаза од аукцијата ќе имаат пристап до информациите кои ќе им овозможат во секое време да го утврдат својот ранг. 1.6.1.4.Доколку во постапката за јавна набавка остане само една прифатлива понуда, електронска аукција нема да се спроведе. 1.6.1.5.По завршувањето на електронската аукција, доколку предметот на набавка",yes,,,
7,3.4,REQ-SEC-3-4,"3.4.Начин на плаќање 3.4.1.Начинот на плаќање е во рок од 30 дена по доставена фактура на адресата на Договорниот орган односно за секој договорен орган посебно од групата договорни органи.. 3.5.Начин и рок на извршување на Услуги 3.5.1.Носителот на набавката е должен предметот на набавката да го извршува согласно техничката спецификација.. 3.5.2.Носителот на набавката е должен предметот на набавката да го извршува во рок од 12 месеци, од денот на склучување на основниот договор за јавна набавка односно секој анекс- договор. Носителот на набавката треба иницијално да ја воспостави услугата во рок од 30 дена по потпишувањето на основниот договор односно во рок од 30 дена по потпишувањето на анекс- договорот со секој субјект од Табела 1.. 3.6.Период на важност на понудата 3.6.1.Периодот на в",yes,,,
8,3.9,REQ-SEC-3-9,"3.9.Краен рок за поднесување на понудите 3.9.1.Краен рок за доставување на понудите е 24.06.2025 година, до 09:00 часот. 3.9.2.Понудите се поднесуваат преку ЕСЈН на следнава веб адреса: https://www.e-nabavki.gov.mk . 3.9.3.По истекот на крајниот рок за поднесување на понудите истите нема да може да се поднесат.",yes,,,
9,3.10,REQ-SEC-3-10,"3.10.Содржина на понудата 3.10.1.Понудата треба да е составена од следнава документација  финансиска понуда техничка понуда со бараните прилози кон техничката понуда документи за докажување дека не постојат причини за исклучување од постапката, документ за докажување на способноста за вршење на професионална дејност, докази за исполнување на техничката или професионалната способност докази за стандардите за системи за квалитет изјава за сериозност на понудата лиценца/дозвола/потврда како доказ дека се исполнети посебните услови за вршење на дејноста пропишани со закон  3.11.Подизведување 3.11.1.Понудувачот може дел од договорот за јавна набавка да додели на подизведувач. Доколку понудувачот користи подизведувач при извршувањето на договорот за јавна набавка, во понудата: Ги навед",yes,,,
10,4.2,REQ-SEC-4-2,"4.2.Причини за исклучување од постапката 4.2.1.Договорниот орган ќе го исклучи од постапката за јавна набавка економскиот оператор: доколку утврди дека на економскиот оператор или на лицето кое е член на управниот или на надзорниот орган на тој економски оператор или кое има овластувања за застапување или донесување одлуки или надзор врз него, во последните пет години му е изречена правосилна судска пресуда за сторено кривично дело кое има елементи од кривичните дела учество во злосторничко здружување, корупција, затајување даноци и придонеси, тероризам или казнени дела поврзани со терористички активности, перење пари и финансирање тероризам и злоупотреба на детскиот труд и трговија со луѓе, утврдени во Кривичниот законик. кој има неплатени даноци, придонеси или други јавни давачки, осве",yes,,,
