file,tag,term,source_page,snippet
тендерска_документација_02313-2026_20260219140857 (1).pdf,certificate,сертификат,7,"4.1.4.Цената на понудата се изразува за вкупниот предмет на набавка.
4.1.5.Понудувачот може да ја измени, замени или да ја повлече својата понуда пред истекот на 
крајниот рок за поднесување на понудите.
4.1.6.Понудата с"
тендерска_документација_01396-2026_20260209083938.pdf,certificate,сертификат,10,"4.1.6.Понудата се поднесува во електронска форма преку ЕСЈН и истата треба да биде електронски 
потпишана со користење на квалификуван сертификат за електронски потпис од одговорното лице 
на економскиот оператор или лиц"
тендерска_документација_01332-2026_20260206132608.pdf,declaration_statement,изјава,11,"11
изјава за сериозност на понудата 
лиценца/дозвола/потврда како доказ дека се исполнети посебните услови за вршење на 
дејноста пропишани со закон
4.4.Подизведување
4.4.1.Понудувачот може дел од договорот за јавна на"
тендерска_документација_01332-2026_20260206132608.pdf,license,лиценца,11,"11
изјава за сериозност на понудата 
лиценца/дозвола/потврда како доказ дека се исполнети посебните услови за вршење на 
дејноста пропишани со закон
4.4.Подизведување
4.4.1.Понудувачот може дел од договорот за јавна на"
тендерска_документација_01332-2026_20260206132608.pdf,license,лиценца,14,"14
- Лиценца А или Б за изведувач на градби од прва или втора категорија согласно Закон 
за градење. како доказ дека се исполнети посебните услови за вршење на дејноста пропишани со 
закон. 
5.3.2.Економска и финансиска "
тендерска_документација_01332-2026_20260206132608.pdf,declaration_statement,изјава,16,"16
носивост и копија од сообраќајна дозвола со доказ дека истите се во употреба,
- За Ваљаци - потребно е да се достави доказ за сопственост или доказ за обезбеден пристап до
истите согласно Законот за јавните набавки, И"
тендерска_документација_01332-2026_20260206132608.pdf,proof_document,доказ за,16,"16
носивост и копија од сообраќајна дозвола со доказ дека истите се во употреба,
- За Ваљаци - потребно е да се достави доказ за сопственост или доказ за обезбеден пристап до
истите согласно Законот за јавните набавки, И"
тендерска_документација_01606-2026_20260212094153 (1).pdf,certificate,сертификат,7,"3.1.8. За да учествува во постапката, економскиот оператор треба да се регистрира во ЕСЈН и да 
поседува квалификуван сертификат за електронски потпис согласно прописите за електронски 
потпис. Економскиот оператор се ре"
тендерска_документација_01606-2026_20260212094153 (1).pdf,certificate,сертификат,9,"на економскиот оператор или лице овластено од него. Сертификатот треба да биде со важност 
најмалку до моментот на јавното отворање односно крајниот рок за поднесување на понудите.
4.1.7.Доколку понудата ја потпишува лиц"
тендерска_документација_01606-2026_20260212094153 (1).pdf,certificate,сертификат,14,"oСертификат за минимум 2 (два) сертифициран вработен или ангажирано лица од 
областа на мрежна безбедност, професионално ниво CCNP Security или еквивалентен
oСертификат за минимум 1 (еден) сертифицирано вработено или анг"
тендерска_документација_02313-2026_20260219140857.pdf,certificate,сертификат,7,"4.1.4.Цената на понудата се изразува за вкупниот предмет на набавка.
4.1.5.Понудувачот може да ја измени, замени или да ја повлече својата понуда пред истекот на 
крајниот рок за поднесување на понудите.
4.1.6.Понудата с"
тендерска_документација_01606-2026_20260212094153.pdf,certificate,сертификат,7,"3.1.8. За да учествува во постапката, економскиот оператор треба да се регистрира во ЕСЈН и да 
поседува квалификуван сертификат за електронски потпис согласно прописите за електронски 
потпис. Економскиот оператор се ре"
тендерска_документација_01606-2026_20260212094153.pdf,certificate,сертификат,9,"на економскиот оператор или лице овластено од него. Сертификатот треба да биде со важност 
најмалку до моментот на јавното отворање односно крајниот рок за поднесување на понудите.
4.1.7.Доколку понудата ја потпишува лиц"
тендерска_документација_01606-2026_20260212094153.pdf,certificate,сертификат,14,"oСертификат за минимум 2 (два) сертифициран вработен или ангажирано лица од 
областа на мрежна безбедност, професионално ниво CCNP Security или еквивалентен
oСертификат за минимум 1 (еден) сертифицирано вработено или анг"
тендерска_документација_02335-2026_20260219152806.pdf,declaration_statement,изјава,9,"3.7.1.Понудата треба да е со важност од 120 дена.
3.7.2.Договорниот орган може, во исклучителни случаи кои не настанале по негова вина, да 
побара од понудувачите продолжување на периодот на важност на понудите.
3.8.Сред"
тендерска_документација_02335-2026_20260219152806.pdf,declaration_statement,изјава,11,"Економскиот оператор во прилог на понудата доставува изјава за докажување на 
способноста или документи за утврдување способност. Во случај економскиот оператор да 
достави и изјава за докажување на способноста и докумен"
тендерска_документација_02335-2026_20260219152806.pdf,certificate,сертификат,11,"Економскиот оператор во прилог на понудата доставува изјава за докажување на 
способноста или документи за утврдување способност. Во случај економскиот оператор да 
достави и изјава за докажување на способноста и докумен"
тендерска_документација_02335-2026_20260219152806.pdf,declaration_statement,изјава,13,"-потврда дека со правосилна пресуда не му е изречена прекршочна санкција - забрана 
за вршење на професија, дејност или должност или единствен документ за докажување 
на способноста и
-потврда дека со правосилна пресуда "
образец_техничка_понуда (4).docx,technical_offer,техничка понуда,,"Техничка понуда Согласни сме да ги понудиме следниве Услуги : Предмет на набавка – Мобила,фиксна телефонија и интернет за период од две години Дел 1 - Предмет на дел: ДЕЛ 1: УСЛУГИ ОД МОБИЛНА ТЕЛЕФОНИЈА Реден број Назив "
образец_техничка_понуда (3).docx,technical_offer,техничка понуда,,Техничка понуда Согласни сме да ги понудиме следниве Услуги : Предмет на набавка – Фиксна телефонија и интернет Реден број Назив Минимални технички карактеристики Понудени технички карактеристики 1 Тарифен модел -Пакет 1
образец_техничка_понуда (26).docx,technical_offer,техничка понуда,,Техничка понуда Согласни сме да ги понудиме следниве Работи : Предмет на набавка – Изградба на собирна улица С2 улица Новопроектирана 1 -„ Источноколекторска “ во град Струга - прва фаза Реден број Назив Минимални технич
